Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/-1,2,1218,674,1763,1763,1763,674,1763,0.000%,.09798,0.24,0.07
/canonical.html-2,2,45,25,65,65,65,25,65,0.000%,.10711,0.03,0.03
/success.txt-4,2,14,14,15,15,15,14,15,0.000%,.10740,0.02,0.03
/success.txt-3,2,18,15,21,21,21,15,21,0.000%,.10736,0.02,0.03
/canonical.html-5,2,29,15,44,44,44,15,44,0.000%,.10720,0.03,0.03
/success.txt-6,2,18,15,22,22,22,15,22,0.000%,.10720,0.02,0.03
/success.txt-7,2,13,13,14,14,14,13,14,0.000%,.10726,0.02,0.03
/-8,2,10181,544,19819,19819,19819,544,19819,0.000%,.05201,0.11,0.02
/canonical.html-9,2,22,19,25,25,25,19,25,0.000%,.05272,0.02,0.02
/success.txt-11,2,18,13,23,23,23,13,23,0.000%,.05273,0.01,0.02
/success.txt-10,2,16,15,17,17,17,15,17,0.000%,.05274,0.01,0.02
/canonical.html-12,2,17,14,20,20,20,14,20,0.000%,.05274,0.02,0.02
/success.txt-14,2,554,14,1095,1095,1095,14,1095,0.000%,.05129,0.01,0.02
/success.txt-15,2,19,17,22,22,22,17,22,0.000%,.05128,0.01,0.02
/reserve.php-13,2,358,338,379,379,379,338,379,0.000%,.05082,0.12,0.03
/canonical.html-16,2,14,13,15,15,15,13,15,0.000%,.05124,0.01,0.02
/success.txt-17,2,20,16,25,25,25,16,25,0.000%,.05124,0.01,0.02
/success.txt-18,2,21,15,28,28,28,15,28,0.000%,.05123,0.01,0.02
/canonical.html-19,2,14,13,16,16,16,13,16,0.000%,.05123,0.01,0.02
/success.txt-21,2,13,13,14,14,14,13,14,0.000%,.05123,0.01,0.02
/success.txt-22,2,14,13,15,15,15,13,15,0.000%,.05123,0.01,0.02
/purchase.php-20,2,999,424,1575,1575,1575,424,1575,0.000%,.04926,0.12,0.03
/canonical.html-23,2,16,16,17,17,17,16,17,0.000%,.04976,0.01,0.01
/success.txt-24,2,19,16,23,23,23,16,23,0.000%,.04976,0.01,0.01
/success.txt-25,2,14,14,15,15,15,14,15,0.000%,.04977,0.01,0.01
TOTAL,50,547,16,544,1095,19819,13,19819,0.000%,1.14511,0.66,0.40
