Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/canonical.html-26,1,1123,1123,1123,1123,1123,1123,1123,0.000%,.89047,0.26,0.26
/success.txt-28,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/success.txt-27,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-29,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-31,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-30,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-32,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-35,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-34,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/-33,1,1435,1435,1435,1435,1435,1435,1435,0.000%,.69686,1.50,0.31
/canonical.html-36,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-37,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-38,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-39,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-41,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-40,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-42,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-45,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/success.txt-44,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/reserve.php-43,1,768,768,768,768,768,768,768,0.000%,1.30208,3.07,0.81
/canonical.html-46,1,31,31,31,31,31,31,31,0.000%,32.25806,9.39,9.55
/success.txt-48,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-47,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-50,1,33,33,33,33,33,33,33,0.000%,30.30303,8.82,8.97
/success.txt-52,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-51,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/purchase.php-49,1,555,555,555,555,555,555,555,0.000%,1.80180,4.41,1.23
/canonical.html-53,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-54,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-55,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/canonical.html-56,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-57,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-58,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-59,1,31,31,31,31,31,31,31,0.000%,32.25806,9.39,9.55
/success.txt-60,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-61,1,32,32,32,32,32,32,32,0.000%,31.25000,6.59,9.31
/canonical.html-62,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-63,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-64,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-65,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-66,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-67,1,31,31,31,31,31,31,31,0.000%,32.25806,6.80,9.61
/canonical.html-68,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-69,1,32,32,32,32,32,32,32,0.000%,31.25000,6.59,9.31
/success.txt-70,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-71,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-73,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-72,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-74,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-76,1,32,32,32,32,32,32,32,0.000%,31.25000,6.59,9.31
/success.txt-75,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-77,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-79,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-78,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-80,1,30,30,30,30,30,30,30,0.000%,33.33333,9.70,9.86
/success.txt-81,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-82,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-83,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-86,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-85,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
