Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/canonical.html-90,1,1106,1106,1106,1106,1106,1106,1106,0.000%,.90416,0.26,0.27
/success.txt-91,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-92,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-93,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-94,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/success.txt-95,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-97,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-98,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/success.txt-99,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/-96,1,454,454,454,454,454,454,454,0.000%,2.20264,4.86,0.97
/canonical.html-100,1,27,27,27,27,27,27,27,0.000%,37.03704,10.78,10.96
/success.txt-101,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/success.txt-102,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-103,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-105,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-104,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/canonical.html-106,1,29,29,29,29,29,29,29,0.000%,34.48276,10.04,10.20
/success.txt-107,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-108,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-109,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-111,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-110,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/canonical.html-112,1,34,34,34,34,34,34,34,0.000%,29.41176,8.56,8.70
/success.txt-113,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/success.txt-114,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
/canonical.html-116,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-118,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/reserve.php-115,1,943,943,943,943,943,943,943,0.000%,1.06045,2.50,0.67
/canonical.html-119,1,27,27,27,27,27,27,27,0.000%,37.03704,10.78,10.96
/success.txt-121,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-120,1,28,28,28,28,28,28,28,0.000%,35.71429,7.53,10.64
/success.txt-117,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-122,1,27,27,27,27,27,27,27,0.000%,37.03704,10.78,10.96
/success.txt-124,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/success.txt-123,1,29,29,29,29,29,29,29,0.000%,34.48276,7.27,10.27
/canonical.html-125,1,28,28,28,28,28,28,28,0.000%,35.71429,10.39,10.57
/success.txt-126,1,27,27,27,27,27,27,27,0.000%,37.03704,7.81,11.03
/success.txt-127,1,30,30,30,30,30,30,30,0.000%,33.33333,7.03,9.93
